"Istua / Istu<br>Voitko istua tässä?","Сидеть<br/>Можешь сидеть здесь?"
"Seisoa / Seiso<br>Seiso suorassa kun puhut opettajalle.","Стоять<br/>Стой прямо, когда говоришь с учителем."
"Juoda / Juo<br>Juo vettä treenin jälkeen.","Пить<br/>Пей воду после тренировки."
"Odottaa / Odota<br>Odota minua ulkona.","Ждать<br/>Подожди меня снаружи."
"Ymmärtää / Ymmärrä<br>Ymmärrä, että tämä on tärkeää.","Понимать<br/>Пойми, что это важно."
"Muistaa / Muista<br>Muista sulkea ovi lähtiessäsi.","Помнить<br/>Не забудь закрыть дверь, уходя."
"Unohtaa / Unohda<br>Unohda menneet virheet.","Забывать<br/>Забудь прошлые ошибки."
"Ajatella / Ajattele<br>Ajattele tarkkaan ennen kuin vastaat.","Думать<br/>Подумай хорошенько, прежде чем отвечать."
"Tietää / Tiedä<br>Tiedä arvosi.","Знать<br/>Знай свою ценность."
"Osata / Osaat<br>Osaatko uida?","Уметь<br/>Ты умеешь плавать?"
"Opiskella / Opiskele<br>Opiskele ahkerasti.","Учиться<br/>Учись усердно."
"Oppia / Opettele<br>Opettele uusi kieli.","Учить<br/>Учи новый язык."
"Kysyä / Kysy<br>Kysy, jos tarvitset apua.","Спрашивать<br/>Спроси, если нужна помощь."
"Vastata / Vastaa<br>Vastaa kysymykseen.","Отвечать<br/>Ответь на вопрос."
"Pyytää / Pyydä<br>Pyydä anteeksi, kun teet virheen.","Проcить<br/>Проcи прощения, когда делаешь ошибку."
"Sanoa / Sano<br>Sano totuus.","Говорить<br/>Скажи правду."
"Kertoa / Kerro<br>Kerro minulle tarinasi.","Рассказывать<br/>Расскажи мне свою историю."
"Keskustella / Keskustele<br>Keskustele avoimesti ongelmista.","Обсуждать<br/>Обсуди проблемы открыто."
"Nukkua / Nuku<br>Nuku hyvin.","Спать<br/>Спи хорошо."
"Herätä / Herää<br>Herää aikaisin huomenna.","Просыпаться<br/>Просыпайся рано завтра."
"Nousta / Nouse<br>Nouse ylös sängystä.","Вставать<br/>Встань с кровати."
"Maata / Maka<br>Maka pitkälläsi ja rentoudu.","Лежать<br/>Лежи спокойно и расслабься."
"Pestä / Pese<br>Pese kätesi ennen ruokailua.","Мыть<br/>Мой руки перед едой."
"Tiskata / Tiskaa<br>Tiskaa astiat illallisen jälkeen.","Мыть посуду<br/> / Помой посуду после ужина."
